# columns: T_lo[K]  T_hi[K]  T_mid[K]  dP/dT[1/K]  dP/dlnT
  2.00000E+000   2.02625E+000   2.01308E+000   0.00000E+000   0.00000E+000
  2.02625E+000   2.05285E+000   2.03951E+000   0.00000E+000   0.00000E+000
  2.05285E+000   2.07979E+000   2.06627E+000   0.00000E+000   0.00000E+000
  2.07979E+000   2.10709E+000   2.09340E+000   0.00000E+000   0.00000E+000
  2.10709E+000   2.13475E+000   2.12087E+000   0.00000E+000   0.00000E+000
  2.13475E+000   2.16277E+000   2.14871E+000   0.00000E+000   0.00000E+000
  2.16277E+000   2.19115E+000   2.17691E+000   0.00000E+000   0.00000E+000
  2.19115E+000   2.21991E+000   2.20549E+000   0.00000E+000   0.00000E+000
  2.21991E+000   2.24905E+000   2.23443E+000   0.00000E+000   0.00000E+000
  2.24905E+000   2.27857E+000   2.26376E+000   0.00000E+000   0.00000E+000
  2.27857E+000   2.30848E+000   2.29347E+000   0.00000E+000   0.00000E+000
  2.30848E+000   2.33878E+000   2.32358E+000   0.00000E+000   0.00000E+000
  2.33878E+000   2.36947E+000   2.35408E+000   0.00000E+000   0.00000E+000
  2.36947E+000   2.40057E+000   2.38497E+000   0.00000E+000   0.00000E+000
  2.40057E+000   2.43208E+000   2.41628E+000   0.00000E+000   0.00000E+000
  2.43208E+000   2.46401E+000   2.44799E+000   0.00000E+000   0.00000E+000
  2.46401E+000   2.49635E+000   2.48012E+000   0.00000E+000   0.00000E+000
  2.49635E+000   2.52911E+000   2.51268E+000   0.00000E+000   0.00000E+000
  2.52911E+000   2.56231E+000   2.54566E+000   0.00000E+000   0.00000E+000
  2.56231E+000   2.59594E+000   2.57907E+000   0.00000E+000   0.00000E+000
  2.59594E+000   2.63001E+000   2.61292E+000   0.00000E+000   0.00000E+000
  2.63001E+000   2.66453E+000   2.64722E+000   0.00000E+000   0.00000E+000
  2.66453E+000   2.69951E+000   2.68196E+000   0.00000E+000   0.00000E+000
  2.69951E+000   2.73494E+000   2.71716E+000   2.92623E-001   7.95110E-001
  2.73494E+000   2.77084E+000   2.75283E+000   0.00000E+000   0.00000E+000
  2.77084E+000   2.80720E+000   2.78896E+000   0.00000E+000   0.00000E+000
  2.80720E+000   2.84405E+000   2.82557E+000   0.00000E+000   0.00000E+000
  2.84405E+000   2.88138E+000   2.86265E+000   0.00000E+000   0.00000E+000
  2.88138E+000   2.91920E+000   2.90023E+000   0.00000E+000   0.00000E+000
  2.91920E+000   2.95752E+000   2.93829E+000   0.00000E+000   0.00000E+000
  2.95752E+000   2.99633E+000   2.97686E+000   0.00000E+000   0.00000E+000
  2.99633E+000   3.03566E+000   3.01593E+000   0.00000E+000   0.00000E+000
  3.03566E+000   3.07551E+000   3.05552E+000   0.00000E+000   0.00000E+000
  3.07551E+000   3.11587E+000   3.09562E+000   0.00000E+000   0.00000E+000
  3.11587E+000   3.15677E+000   3.13626E+000   0.00000E+000   0.00000E+000
  3.15677E+000   3.19821E+000   3.17742E+000   0.00000E+000   0.00000E+000
  3.19821E+000   3.24018E+000   3.21913E+000   0.00000E+000   0.00000E+000
  3.24018E+000   3.28271E+000   3.26138E+000   0.00000E+000   0.00000E+000
  3.28271E+000   3.32580E+000   3.30419E+000   0.00000E+000   0.00000E+000
  3.32580E+000   3.36945E+000   3.34755E+000   0.00000E+000   0.00000E+000
  3.36945E+000   3.41368E+000   3.39149E+000   0.00000E+000   0.00000E+000
  3.41368E+000   3.45848E+000   3.43601E+000   0.00000E+000   0.00000E+000
  3.45848E+000   3.50388E+000   3.48111E+000   0.00000E+000   0.00000E+000
  3.50388E+000   3.54987E+000   3.52680E+000   0.00000E+000   0.00000E+000
  3.54987E+000   3.59646E+000   3.57309E+000   0.00000E+000   0.00000E+000
  3.59646E+000   3.64367E+000   3.61999E+000   0.00000E+000   0.00000E+000
  3.64367E+000   3.69149E+000   3.66750E+000   0.00000E+000   0.00000E+000
  3.69149E+000   3.73994E+000   3.71564E+000   0.00000E+000   0.00000E+000
  3.73994E+000   3.78903E+000   3.76441E+000   0.00000E+000   0.00000E+000
  3.78903E+000   3.83877E+000   3.81382E+000   0.00000E+000   0.00000E+000
  3.83877E+000   3.88915E+000   3.86388E+000   0.00000E+000   0.00000E+000
  3.88915E+000   3.94020E+000   3.91459E+000   0.00000E+000   0.00000E+000
  3.94020E+000   3.99192E+000   3.96597E+000   0.00000E+000   0.00000E+000
  3.99192E+000   4.04431E+000   4.01803E+000   0.00000E+000   0.00000E+000
  4.04431E+000   4.09739E+000   4.07077E+000   0.00000E+000   0.00000E+000
  4.09739E+000   4.15118E+000   4.12420E+000   0.00000E+000   0.00000E+000
  4.15118E+000   4.20566E+000   4.17833E+000   0.00000E+000   0.00000E+000
  4.20566E+000   4.26086E+000   4.23317E+000   0.00000E+000   0.00000E+000
  4.26086E+000   4.31679E+000   4.28873E+000   0.00000E+000   0.00000E+000
  4.31679E+000   4.37345E+000   4.34503E+000   0.00000E+000   0.00000E+000
