# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S2
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  5.39080018E-063
  9.226000E-02  6.90029704E-062
  9.332000E-02  2.59672148E-061
  9.441000E-02  7.96537559E-061
  9.550000E-02  2.20629542E-060
  9.661000E-02  5.85908699E-060
  9.772000E-02  1.49594863E-059
  9.886000E-02  3.79761137E-059
  1.000000E-01  9.39033644E-059
  1.012000E-01  2.37418324E-058
  1.023000E-01  5.43995588E-058
  1.035000E-01  1.31524310E-057
  1.047000E-01  3.11095583E-057
  1.059000E-01  7.20544015E-057
  1.072000E-01  1.74922276E-056
  1.084000E-01  3.88656367E-056
  1.097000E-01  9.03261114E-056
  1.109000E-01  1.93044870E-055
  1.122000E-01  4.30977176E-055
  1.135000E-01  9.44003735E-055
  1.148000E-01  2.03030131E-054
  1.161000E-01  4.28126737E-054
  1.175000E-01  9.35523526E-054
  1.189000E-01  2.00264360E-053
  1.202000E-01  3.98979224E-053
  1.216000E-01  8.22778749E-053
  1.230000E-01  1.66628817E-052
  1.244000E-01  3.31820251E-052
  1.259000E-01  6.81825144E-052
  1.274000E-01  1.37462250E-051
  1.288000E-01  2.60130131E-051
  1.303000E-01  5.06506515E-051
  1.318000E-01  9.70783487E-051
  1.333000E-01  1.82934439E-050
  1.349000E-01  3.52828419E-050
  1.365000E-01  6.67995735E-050
  1.380000E-01  1.19374003E-049
  1.396000E-01  2.16584315E-049
  1.412000E-01  3.86241686E-049
  1.429000E-01  7.00936919E-049
  1.445000E-01  1.20652754E-048
  1.462000E-01  2.10807743E-048
  1.479000E-01  3.61688865E-048
  1.496000E-01  6.10992518E-048
  1.514000E-01  1.04613817E-047
  1.531000E-01  1.70925771E-047
  1.549000E-01  2.82256801E-047
  1.567000E-01  4.60856929E-047
  1.585000E-01  7.42472169E-047
  1.603000E-01  1.17999356E-046
  1.622000E-01  1.89781231E-046
  1.641000E-01  3.00811906E-046
  1.660000E-01  4.73966460E-046
  1.679000E-01  7.47457609E-046
  1.698000E-01  1.16810381E-045
  1.718000E-01  1.85222183E-045
  1.738000E-01  2.91434124E-045
  1.758000E-01  4.55762876E-045
  1.778000E-01  7.03008217E-045
  1.799000E-01  1.08152831E-044
  1.820000E-01  1.64717499E-044
  1.841000E-01  2.48645521E-044
  1.862000E-01  3.72349331E-044
  1.884000E-01  5.64532971E-044
  1.905000E-01  8.35263922E-044
  1.928000E-01  1.31044823E-043
